add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multiplicative Depth,execution_time (s),Remaining_noise_budget
1,0,0,0,0,2,2,1,0.385,328
5,0,0,0,0,2,3,1,0.482,327
13,10,0,0,0,9,6,2,2.037,296
3,2,0,0,0,2,3,1,0.482,327
16,6,0,0,0,5,7,1,1.366,327
2,1,0,0,0,2,3,1,0.433,328
2,1,0,0,0,1,3,1,0.268,329
3,2,0,0,0,2,3,1,0.481,327
2,3,0,0,0,2,4,1,0.481,328
4,2,0,0,0,3,4,2,0.668,296
11,4,0,0,0,7,7,2,1.538,295
2,2,0,0,0,2,3,1,0.456,328
6,5,0,0,0,4,4,1,0.952,327
3,0,0,0,0,2,3,1,0.433,328
2,0,0,0,0,1,2,1,0.245,328
7,7,0,0,0,7,11,4,1.514,231
1,1,0,0,0,1,2,1,0.245,329
5,3,0,0,0,5,6,2,1.043,295
1,1,0,0,0,2,3,1,0.408,328
19,6,0,0,0,7,7,1,1.757,327
1,1,0,0,0,1,2,1,0.245,328
2,1,0,0,0,2,3,2,0.433,296
13,6,0,0,0,6,7,2,1.474,296
23,10,0,0,0,8,9,2,2.104,295
2,3,0,0,0,2,3,1,0.482,328
3,3,0,0,0,2,4,2,0.504,296
2,1,0,0,0,1,3,1,0.268,328
2,0,0,0,0,5,3,2,0.898,295
2,1,0,0,0,2,4,2,0.433,296
11,7,0,0,0,8,8,2,1.766,295
3,0,0,0,0,4,4,1,0.760,328
1,1,0,0,0,1,2,1,0.245,328
1,0,0,0,0,2,2,1,0.336,328
3,3,0,0,0,3,4,1,0.668,328
1,1,0,0,0,1,2,1,0.245,329
6,4,0,0,0,5,4,2,1.090,296
18,0,0,0,0,13,5,3,2.565,262
18,6,0,0,0,5,6,1,1.407,327
2,2,0,0,0,2,4,1,0.456,328
7,0,0,0,0,4,4,2,0.858,295
4,0,0,0,0,3,4,3,0.621,263
1,1,0,0,0,1,2,1,0.245,329
7,0,0,0,0,4,4,2,0.858,296
2,2,0,0,0,2,3,1,0.457,328
1,1,0,0,0,2,3,2,0.408,296
2,2,0,0,0,2,3,1,0.457,328
2,1,0,0,0,1,3,1,0.268,328
13,5,0,0,0,5,5,1,1.271,327
4,0,0,0,0,2,4,2,0.457,296
2,0,0,0,0,1,2,1,0.245,328
2,2,0,0,0,2,3,1,0.457,328
1,1,0,0,0,2,3,1,0.408,328
9,0,0,0,0,6,4,3,1.230,263
4,3,0,0,0,4,4,1,0.857,327
13,5,0,0,0,7,6,2,1.614,295
13,0,0,0,0,4,5,2,0.999,296
1,1,0,0,0,1,2,1,0.245,328
7,4,0,0,0,4,5,2,0.951,296
2,2,0,0,0,2,3,1,0.457,328
4,2,0,0,0,3,4,1,0.669,327
20,9,0,0,0,8,7,2,2.015,296
8,3,0,0,0,5,5,1,1.115,327
1,1,0,0,0,1,2,1,0.245,328
18,5,0,0,0,8,7,1,1.892,327
6,5,0,0,0,4,4,1,0.952,327
7,4,0,0,0,4,4,1,0.952,327
3,2,0,0,0,2,3,1,0.481,328
1,1,0,0,0,1,2,1,0.245,328
4,0,0,0,0,3,3,2,0.620,296
29,14,0,0,0,16,7,2,3.678,295
3,2,0,0,0,2,3,1,0.482,328
5,4,0,0,0,4,6,2,0.903,296
5,0,0,0,0,2,3,1,0.482,327
10,5,0,0,0,4,5,1,1.048,327
3,0,0,0,0,0,2,0,0.100,360
19,4,0,0,0,10,8,2,2.198,295
3,2,0,0,0,3,5,2,0.643,296
15,6,0,0,0,5,6,1,1.345,327
1,1,0,0,0,1,2,1,0.245,328
2,2,0,0,0,2,3,1,0.457,328
2,2,0,0,0,3,3,2,0.620,296
5,2,0,0,0,3,4,1,0.694,327
6,3,0,0,0,4,4,2,0.903,296
4,2,0,0,0,3,4,2,0.669,296
9,4,0,0,0,5,6,2,1.165,296
7,0,0,0,0,9,5,3,1.668,263
4,1,0,0,0,2,3,1,0.480,328
6,0,0,0,0,9,4,2,1.648,295
9,0,0,0,0,6,4,2,1.231,295
1,1,0,0,0,2,3,2,0.408,296
4,2,0,0,0,3,4,1,0.669,328
5,0,0,0,0,0,3,0,0.147,360
5,3,0,0,0,3,4,1,0.719,327
2,0,0,0,0,3,3,2,0.572,296
3,2,0,0,0,2,3,1,0.481,328
9,0,0,0,0,8,5,2,1.556,295
6,0,0,0,0,6,4,3,1.159,264
2,0,0,0,0,1,2,1,0.245,328
5,3,0,0,0,4,5,2,0.880,296
1,2,0,0,0,2,3,1,0.433,328
9,0,0,0,0,6,4,2,1.230,295
27,14,0,0,0,12,7,2,2.950,295
6,5,0,0,0,4,4,1,0.951,327
5,0,0,0,0,2,3,1,0.483,327
8,0,0,0,0,5,4,2,1.043,295
2,1,0,0,0,2,3,1,0.432,328
11,6,0,0,0,6,5,1,1.418,327
11,0,0,0,0,20,5,4,3.540,231
6,5,0,0,0,4,5,1,0.950,327
5,0,0,0,0,2,3,1,0.482,328
9,0,0,0,0,6,4,2,1.232,295
6,0,0,0,0,9,4,3,1.646,263
2,2,0,0,0,2,3,2,0.458,296
2,1,0,0,0,1,3,1,0.268,328
1,0,0,0,0,1,2,1,0.220,329
1,1,0,0,0,2,3,2,0.408,296
12,8,0,0,0,9,6,2,1.970,296
4,0,0,0,0,3,3,2,0.619,296
4,3,0,0,0,4,4,1,0.858,327
2,2,0,0,0,1,3,1,0.293,328
2,2,0,0,0,2,3,1,0.456,328
2,3,0,0,0,2,3,1,0.481,328
2,1,0,0,0,2,3,2,0.433,296
2,3,0,0,0,3,4,1,0.645,328
3,2,0,0,0,2,3,1,0.482,327
3,3,0,0,0,2,4,1,0.504,328
6,5,0,0,0,4,4,1,0.952,327
4,0,0,0,0,2,3,2,0.457,296
3,0,0,0,0,2,3,1,0.432,328
4,0,0,0,0,3,3,2,0.619,295
2,3,0,0,0,2,3,1,0.482,328
7,0,0,0,0,8,4,3,1.507,263
6,3,0,0,0,3,5,2,0.741,296
6,5,0,0,0,6,6,2,1.278,295
1,0,0,0,0,2,2,1,0.336,327
2,2,0,0,0,1,3,1,0.293,328
5,3,0,0,0,3,4,1,0.717,327
4,3,0,0,0,4,4,1,0.858,328
10,5,0,0,0,5,7,2,1.207,296
2,1,0,0,0,2,4,2,0.433,296
7,4,0,0,0,2,5,1,0.625,327
11,5,0,0,0,7,6,2,1.555,296
3,2,0,0,0,3,4,1,0.644,327
10,4,0,0,0,5,5,1,1.187,327
5,0,0,0,0,10,4,2,1.782,295
19,5,0,0,0,3,7,1,1.101,327
2,1,0,0,0,2,3,1,0.432,328
2,1,0,0,0,3,4,2,0.596,296
1,1,0,0,0,2,3,1,0.407,328
17,0,0,0,0,14,5,3,2.709,263
2,3,0,0,0,2,3,1,0.480,328
3,0,0,0,0,4,3,2,0.759,295
25,11,0,0,0,11,7,2,2.674,295
16,8,0,0,0,11,6,2,2.400,295
3,5,0,0,0,3,5,1,0.717,327
