benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s),Remaining_noise_budget
max_3,2.0,1.0,0.0,3.0,0.0,2.0,8.0,2.0,15.031,0.482,295
max_4,3.0,1.0,0.0,5.0,0.0,3.0,12.0,3.0,15.699,0.703,262
max_5,7.0,1.0,0.0,5.0,2.0,7.0,15.0,4.0,47.505,1.412,228
sort_3,10.0,1.0,0.0,4.0,3.0,6.0,13.0,3.0,14.317,1.232,262
sort_4,35.0,0.0,0.0,5.0,13.0,23.0,21.0,6.0,86.056,4.162,163
box_blur_3,6.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,15.083,0.229,357
box_blur_4,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,14.224,0.165,357
box_blur_5,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,14.374,0.219,359
lin_reg_4,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,14.124,0.278,328
lin_reg_8,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,13.885,0.278,327
lin_reg_16,2.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,13.866,0.238,328
lin_reg_32,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,14.061,0.052,359
hamming_dist_3,4.0,2.0,0.0,4.0,0.0,3.0,11.0,2.0,14.117,0.710,294
hamming_dist_4,3.0,1.0,0.0,4.0,0.0,2.0,8.0,2.0,13.880,0.525,295
hamming_dist_5,5.0,2.0,1.0,4.0,0.0,5.0,13.0,4.0,15.463,0.916,242
hamming_dist_8,4.0,1.0,0.0,5.0,0.0,2.0,10.0,2.0,14.348,0.566,294
hamming_dist_16,5.0,1.0,0.0,6.0,0.0,2.0,12.0,2.0,17.178,0.606,294
hamming_dist_32,7.0,1.0,0.0,5.0,0.0,3.0,14.0,2.0,37.866,0.777,292
poly_reg_4,3.0,0.0,0.0,2.0,0.0,2.0,7.0,2.0,14.001,0.442,295
poly_reg_8,3.0,0.0,0.0,2.0,0.0,2.0,7.0,2.0,13.879,0.442,295
poly_reg_16,3.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,14.175,0.426,295
poly_reg_32,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,14.310,0.409,296
l2_distance_3,2.0,2.0,0.0,3.0,0.0,1.0,7.0,1.0,13.817,0.344,325
l2_distance_4,2.0,1.0,0.0,3.0,0.0,1.0,7.0,1.0,13.894,0.319,324
l2_distance_5,4.0,3.0,0.0,4.0,0.0,3.0,12.0,2.0,14.214,0.712,293
l2_distance_8,3.0,1.0,0.0,4.0,0.0,1.0,9.0,1.0,13.980,0.360,324
l2_distance_16,4.0,1.0,0.0,5.0,0.0,1.0,11.0,1.0,15.710,0.403,322
l2_distance_32,5.0,1.0,0.0,5.0,0.0,1.0,12.0,1.0,26.694,0.402,323
dot_product_3,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,13.881,0.279,327
dot_product_4,2.0,0.0,0.0,3.0,0.0,1.0,6.0,1.0,13.723,0.295,325
dot_product_5,4.0,0.0,0.0,3.0,0.0,3.0,9.0,2.0,13.893,0.673,294
dot_product_8,3.0,0.0,0.0,4.0,0.0,1.0,8.0,1.0,13.900,0.336,324
dot_product_16,4.0,0.0,0.0,5.0,0.0,1.0,10.0,1.0,14.089,0.377,324
dot_product_32,5.0,0.0,0.0,5.0,0.0,1.0,11.0,1.0,15.710,0.401,325
gx_kernel_3,6.0,0.0,2.0,1.0,2.0,5.0,9.0,3.0,14.108,0.759,271
gx_kernel_4,5.0,0.0,1.0,1.0,2.0,5.0,8.0,3.0,14.413,0.839,264
gx_kernel_5,5.0,0.0,2.0,0.0,2.0,5.0,6.0,3.0,14.858,0.675,271
gy_kernel_3,4.0,0.0,1.0,1.0,2.0,4.0,7.0,3.0,14.336,0.694,271
gy_kernel_4,4.0,0.0,0.0,1.0,3.0,5.0,8.0,3.0,14.526,0.967,263
gy_kernel_5,6.0,0.0,0.0,0.0,5.0,8.0,8.0,3.0,15.246,1.483,263
roberts_cross_3,3.0,0.0,0.0,1.0,3.0,1.0,5.0,1.0,14.249,0.303,327
roberts_cross_4,3.0,0.0,0.0,1.0,3.0,1.0,5.0,1.0,14.306,0.262,327
roberts_cross_5,4.0,0.0,0.0,0.0,4.0,2.0,4.0,1.0,14.905,0.411,327
matrix_mul_3,2.0,0.0,0.0,1.0,0.0,3.0,5.0,2.0,14.184,0.629,295
matrix_mul_4,2.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,14.157,0.427,328
matrix_mul_5,4.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,14.916,0.949,327
tree_50-50_5_1,5.0,0.0,0.0,3.0,0.0,2.0,9.0,2.0,13.940,0.533,295
tree_50-50_10_1,13.0,0.0,0.0,5.0,0.0,9.0,16.0,6.0,25.407,1.904,164
tree_100-50_5_1,9.0,0.0,0.0,5.0,0.0,4.0,15.0,4.0,18.817,0.991,230
tree_100-50_10_1,519.0,0.0,0.0,2.0,0.0,506.0,15.0,9.0,29.313,94.118,65
tree_100-100_5_1,1.0,0.0,0.0,5.0,0.0,4.0,10.0,4.0,15.363,0.794,228
tree_100-100_10_1,1.0,0.0,0.0,2.0,0.0,256.0,12.0,9.0,27.674,41.571,63
