benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s),Remaining_noise_budget
max_3,5,1,0,3,1,3,9,2,19.273,0.695,295
max_4,17,1,0,3,5,11,12,3,20.807,2.08,262
max_5,33,1,0,3,13,27,14,4,25.89,4.585,228
sort_3,15,0,0,3,5,7,12,3,19.509,1.429,262
sort_4,55,0,0,3,17,49,18,6,34.17,8.114,163
box_blur_3,6,0,0,1,0,0,6,0,17.832,0.23,357
box_blur_4,5,0,0,1,0,0,5,0,16.939,0.165,357
box_blur_5,8,0,0,0,0,0,4,0,17.183,0.219,360
lin_reg_4,2,0,0,1,0,1,4,1,16.584,0.238,328
lin_reg_8,2,0,0,1,0,1,4,1,17.512,0.238,328
lin_reg_16,2,0,0,1,0,1,4,1,17.934,0.238,328
lin_reg_32,2,0,1,0,0,1,3,1,16.908,0.052,359
hamming_dist_3,4,1,0,2,0,3,8,2,16.544,0.654,295
hamming_dist_4,4,1,0,3,0,3,10,2,16.518,0.67,294
hamming_dist_5,5,2,1,3,0,5,10,2,16.498,0.897,294
hamming_dist_8,5,1,0,4,0,3,12,2,17.63,0.71,294
hamming_dist_16,6,1,0,5,0,3,14,2,20.991,0.753,293
hamming_dist_32,7,1,0,5,0,3,14,2,25.488,0.778,293
poly_reg_4,3,0,0,1,0,2,6,2,16.065,0.427,296
poly_reg_8,3,0,0,1,0,2,6,2,16.013,0.426,295
poly_reg_16,3,0,0,1,0,2,6,2,17.085,0.426,295
poly_reg_32,3,0,0,0,0,2,5,2,17.122,0.409,296
l2_distance_3,2,2,0,2,0,1,6,1,16.414,0.303,327
l2_distance_4,2,1,0,3,0,1,7,1,16.138,0.296,324
l2_distance_5,4,4,0,2,0,3,10,2,19.43,0.679,294
l2_distance_8,3,1,0,4,0,1,9,1,17.076,0.338,324
l2_distance_16,4,1,0,5,0,1,11,1,18.297,0.378,321
l2_distance_32,5,1,0,5,0,1,12,1,22.445,0.402,324
dot_product_3,2,0,0,2,0,1,5,1,16.023,0.277,327
dot_product_4,2,0,0,2,0,1,5,1,16.013,0.277,327
dot_product_5,4,0,0,2,0,3,8,2,17.742,0.657,295
dot_product_8,3,0,0,3,0,1,7,1,16.574,0.32,327
dot_product_16,4,0,0,4,0,1,9,1,16.626,0.36,326
dot_product_32,5,0,0,5,0,1,11,1,17.852,0.402,326
gx_kernel_3,6,0,2,1,2,4,8,2,16.418,0.597,303
gx_kernel_4,4,0,1,1,2,3,6,1,17.854,0.489,327
gx_kernel_5,5,0,2,0,2,3,5,1,17.34,0.348,328
gy_kernel_3,3,0,1,1,2,3,6,1,16.372,0.505,328
gy_kernel_4,3,0,0,1,3,3,6,1,17.582,0.615,327
gy_kernel_5,5,1,0,0,4,5,6,1,17.804,0.999,327
roberts_cross_3,4,4,0,4,0,2,5,1,17.072,0.734,323
roberts_cross_4,4,4,0,4,0,2,5,1,17.72,0.574,324
roberts_cross_5,2,2,0,0,3,2,4,1,17.905,0.409,327
matrix_mul_3,2,0,0,1,0,2,4,1,16.558,0.467,327
matrix_mul_4,2,0,0,1,0,2,4,1,16.814,0.426,328
matrix_mul_5,4,0,0,0,0,5,4,1,17.604,0.947,327
tree_50-50_5_1,5,0,0,2,0,2,7,2,16.946,0.515,296
tree_50-50_10_1,19,0,0,2,0,16,12,5,21.55,3.088,198
tree_100-50_5_1,28,0,0,2,0,12,12,3,22.688,2.56,261
tree_100-50_10_1,538,0,0,2,0,491,18,11,173.625,91.918,0
tree_100-100_5_1,4,0,0,4,0,15,16,14,22.423,2.644,0
tree_100-100_10_1,1,0,0,1,0,511,11,9,114.41,82.87,61
