benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s),Remaining_noise_budget
max_3,4.0,1.0,0.0,3.0,1.0,3.0,9.0,2.0,12.358,0.672,293
max_4,8.0,1.0,0.0,3.0,3.0,7.0,11.0,3.0,11.495,1.372,262
max_5,12.0,2.0,0.0,5.0,4.0,12.0,15.0,4.0,29.872,2.316,228
sort_3,6.0,1.0,0.0,3.0,2.0,5.0,11.0,3.0,11.430,1.026,262
sort_4,35.0,1.0,0.0,5.0,13.0,26.0,21.0,6.0,82.905,4.658,163
box_blur_3,6.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,11.907,0.230,357
box_blur_4,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,10.899,0.165,357
box_blur_5,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.909,0.220,359
box_blur_8
box_blur_16
box_blur_32
lin_reg_3
lin_reg_4,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,10.670,0.278,327
lin_reg_5
lin_reg_8,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,10.430,0.278,328
lin_reg_16,2.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,10.683,0.238,328
lin_reg_32,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,10.561,0.052,359
hamming_dist_3,3.0,1.0,0.0,3.0,0.0,2.0,8.0,2.0,10.691,0.509,295
hamming_dist_4,3.0,1.0,0.0,4.0,0.0,2.0,8.0,2.0,10.728,0.524,295
hamming_dist_5,5.0,2.0,1.0,3.0,0.0,5.0,10.0,2.0,10.708,0.899,295
hamming_dist_8,4.0,1.0,0.0,5.0,0.0,2.0,10.0,2.0,11.065,0.565,295
hamming_dist_16,5.0,1.0,0.0,6.0,0.0,2.0,12.0,2.0,13.749,0.607,294
hamming_dist_32,7.0,1.0,0.0,5.0,0.0,3.0,14.0,2.0,34.328,0.778,293
poly_reg_3
poly_reg_4,3.0,0.0,0.0,3.0,0.0,2.0,8.0,2.0,10.618,0.484,295
poly_reg_5
poly_reg_8,3.0,0.0,0.0,2.0,0.0,2.0,7.0,2.0,10.617,0.468,295
poly_reg_16,3.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,10.911,0.426,295
poly_reg_32,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,10.850,0.409,296
l2_distance_3,2.0,1.0,0.0,3.0,0.0,1.0,7.0,1.0,10.663,0.320,325
l2_distance_4,2.0,1.0,0.0,4.0,0.0,1.0,8.0,1.0,10.699,0.336,324
l2_distance_5,6.0,3.0,0.0,3.0,0.0,3.0,12.0,2.0,10.599,0.722,293
l2_distance_8,3.0,1.0,0.0,4.0,0.0,1.0,9.0,1.0,10.872,0.361,323
l2_distance_16,4.0,1.0,0.0,5.0,0.0,1.0,11.0,1.0,12.424,0.402,324
l2_distance_32,5.0,1.0,0.0,5.0,0.0,1.0,12.0,1.0,23.016,0.402,325
dot_product_3,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,10.612,0.278,327
dot_product_4,2.0,0.0,0.0,3.0,0.0,1.0,6.0,1.0,10.811,0.295,324
dot_product_5,4.0,0.0,0.0,3.0,0.0,3.0,9.0,2.0,11.688,0.673,295
dot_product_8,3.0,0.0,0.0,4.0,0.0,1.0,8.0,1.0,10.692,0.335,324
dot_product_16,4.0,0.0,0.0,5.0,0.0,1.0,10.0,1.0,10.849,0.377,324
dot_product_32,5.0,0.0,0.0,5.0,0.0,1.0,11.0,1.0,12.366,0.403,326
gx_kernel_3,6.0,0.0,2.0,1.0,2.0,4.0,8.0,2.0,10.749,0.595,303
gx_kernel_4,4.0,0.0,1.0,1.0,2.0,3.0,6.0,1.0,11.120,0.489,327
gx_kernel_5,5.0,0.0,2.0,0.0,2.0,3.0,5.0,1.0,11.224,0.349,328
gx_kernel_8
gx_kernel_16
gx_kernel_32
gy_kernel_3,3.0,0.0,1.0,1.0,2.0,3.0,6.0,1.0,10.905,0.505,328
gy_kernel_4,3.0,0.0,0.0,1.0,3.0,3.0,6.0,1.0,10.952,0.615,327
gy_kernel_5,6.0,0.0,0.0,0.0,5.0,5.0,6.0,1.0,11.549,0.999,327
gy_kernel_8
gy_kernel_16
gy_kernel_32
roberts_cross_3,3.0,0.0,0.0,2.0,3.0,2.0,5.0,1.0,11.086,0.549,325
roberts_cross_4,3.0,0.0,0.0,2.0,3.0,2.0,5.0,1.0,10.878,0.469,325
roberts_cross_5,4.0,0.0,0.0,0.0,4.0,2.0,4.0,1.0,11.630,0.410,327
roberts_cross_8
roberts_cross_16
roberts_cross_32
matrix_mul_3,2.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,10.765,0.466,327
matrix_mul_4,2.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,10.719,0.425,327
matrix_mul_5,4.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,11.566,0.946,327
matrix_mul_8
matrix_mul_16
matrix_mul_32
