benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s),Remaining_noise_budget
max_3,5.0,1.0,0.0,3.0,1.0,3.0,9.0,2.0,12.354,0.697,295
max_4,17.0,1.0,0.0,3.0,5.0,11.0,12.0,3.0,12.923,2.082,262
max_5,28.0,0.0,0.0,1.0,13.0,25.0,12.0,4.0,13.715,4.078,228
sort_3,15.0,0.0,0.0,3.0,5.0,7.0,12.0,3.0,10.690,1.428,262
sort_4,42.0,0.0,0.0,1.0,11.0,57.0,16.0,6.0,17.674,8.863,163
box_blur_3,11.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.699,0.292,359
box_blur_4,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.698,0.220,359
box_blur_5,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,11.176,0.220,359
box_blur_8
box_blur_16
box_blur_32
lin_reg_3
lin_reg_4,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,10.564,0.053,359
lin_reg_5
lin_reg_8,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,10.632,0.053,359
lin_reg_16,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,10.491,0.052,359
lin_reg_32,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,10.707,0.052,359
hamming_dist_3,4.0,1.0,0.0,2.0,0.0,3.0,8.0,2.0,10.685,0.655,295
hamming_dist_4,6.0,2.0,1.0,1.0,0.0,5.0,7.0,2.0,10.544,0.803,295
hamming_dist_5,6.0,2.0,1.0,2.0,0.0,5.0,9.0,2.0,10.762,0.844,295
hamming_dist_8,10.0,4.0,3.0,1.0,0.0,9.0,8.0,2.0,11.184,1.179,295
hamming_dist_16,18.0,8.0,7.0,1.0,0.0,17.0,9.0,2.0,12.642,1.931,295
hamming_dist_32,34.0,16.0,15.0,1.0,0.0,33.0,10.0,2.0,20.562,3.428,295
poly_reg_3
poly_reg_4,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,10.438,0.409,296
poly_reg_5
poly_reg_8,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,10.534,0.412,296
poly_reg_16,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,10.786,0.409,296
poly_reg_32,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,10.997,0.409,296
l2_distance_3,2.0,2.0,0.0,2.0,0.0,1.0,6.0,1.0,10.469,0.302,327
l2_distance_4,2.0,2.0,0.0,1.0,0.0,2.0,5.0,1.0,10.694,0.427,327
l2_distance_5,3.0,3.0,0.0,2.0,0.0,2.0,7.0,1.0,10.695,0.493,327
l2_distance_8,4.0,4.0,0.0,1.0,0.0,4.0,6.0,1.0,10.830,0.803,326
l2_distance_16,8.0,8.0,0.0,1.0,0.0,8.0,7.0,1.0,12.014,1.553,326
l2_distance_32,16.0,16.0,0.0,1.0,0.0,16.0,8.0,1.0,17.331,3.039,325
